time,value,peak
0.00,299,0
0.02,309,0
0.04,321,0
0.06,333,0
0.08,339,0
0.10,347,0
0.12,343,0
0.14,340,0
0.16,332,0
0.18,328,0
0.20,319,0
0.22,322,0
0.24,323,0
0.26,319,0
0.28,323,0
0.30,331,0
0.32,333,0
0.34,339,0
0.36,352,0
0.38,354,0
0.40,349,0
0.42,357,0
0.44,361,0
0.46,358,0
0.48,356,0
0.50,351,0
0.52,347,0
0.54,360,0
0.56,397,0
0.58,452,0
0.60,516,0
0.62,571,0
0.64,583,1
0.66,571,0
0.68,537,0
0.70,479,0
0.72,422,0
0.74,390,0
0.76,354,0
0.78,331,0
0.80,325,0
0.82,306,0
0.84,292,0
0.86,287,0
0.88,291,0
0.90,296,0
0.92,310,0
0.94,312,0
0.96,317,0
0.98,316,0
1.00,323,0
1.02,313,0
1.04,310,0
1.06,304,0
1.08,304,0
1.10,307,0
1.12,314,0
1.14,314,0
1.16,320,0
1.18,335,0
1.20,333,0
1.22,345,0
1.24,351,0
1.26,354,0
1.28,351,0
1.30,362,0
1.32,355,0
1.34,358,0
1.36,358,0
1.38,355,0
1.40,355,0
1.42,356,0
1.44,354,0
1.46,366,0
1.48,383,0
1.50,448,0
1.52,520,0
1.54,569,0
1.62,502,0
1.64,457,0
1.66,407,0
1.68,370,0
1.70,355,0
1.72,333,0
1.74,317,0
1.76,300,0
1.78,287,0
1.80,283,0
1.82,287,0
1.84,292,0
1.86,301,0
1.88,310,0
1.90,315,0
1.92,312,0
1.94,314,0
1.96,315,0
1.98,311,0
2.00,310,0
2.02,307,0
2.04,310,0
2.06,314,0
2.08,324,0
2.10,333,0
2.12,336,0
2.14,342,0
2.16,341,0
2.18,351,0
2.20,353,0
2.22,351,0
2.24,360,0
2.26,357,0
2.28,356,0
2.30,358,0
2.32,360,0
2.34,360,0
2.36,358,0
2.38,357,0
2.40,353,0
2.42,365,0
2.44,381,0
2.46,441,0
2.48,513,0
2.50,563,0
2.52,596,1
2.54,591,0
2.56,551,0
2.58,502,0
2.60,449,0
2.62,404,0
2.64,372,0
2.66,349,0
2.68,333,0
2.70,325,0
2.72,311,0
2.74,313,0
2.76,299,0
2.78,298,0
2.80,308,0
2.82,316,0
2.84,314,0
2.86,321,0
2.88,318,0
2.90,319,0
2.92,295,0
2.94,291,0
2.96,298,0
2.98,299,0
3.00,303,0
3.02,308,0
3.04,320,0
3.06,328,0
3.08,331,0
3.10,343,0
3.12,347,0
3.14,353,0
3.16,350,0
3.18,353,0
3.20,354,0
3.22,353,0
3.24,354,0
3.26,353,0
3.28,362,0
3.30,362,0
3.32,358,0
3.34,354,0
3.36,354,0
3.38,354,0
3.40,360,0
3.42,373,0
3.44,406,0
3.46,465,0
3.48,535,0
3.58,465,0
3.60,426,0
3.62,383,0
3.64,353,0
3.66,338,0
3.68,329,0
3.70,311,0
3.72,301,0
3.74,298,0
3.76,296,0
3.78,310,0
3.80,322,0
3.82,327,0
3.84,328,0
3.86,331,0
3.88,322,0
3.90,314,0
3.92,313,0
3.94,307,0
3.96,307,0
3.98,311,0
4.00,319,0
4.02,326,0
4.04,331,0
4.06,337,0
4.08,341,0
4.10,351,0
4.12,356,0
4.14,358,0
4.16,362,0
4.18,358,0
4.20,357,0
4.22,361,0
4.24,359,0
4.26,358,0
4.28,358,0
4.30,354,0
4.32,355,0
4.34,374,0
4.36,409,0
4.38,458,0
4.40,516,0
4.42,547,0
4.44,550,0
4.46,536,0
4.48,499,0
4.50,458,0
4.52,418,0
4.54,379,0
4.56,352,0
4.58,330,0
4.60,306,0
4.62,298,0
4.64,296,0
4.66,306,0
4.68,327,0
4.70,339,0
4.72,348,0
4.74,348,0
4.76,350,0
4.78,348,0
4.80,337,0
4.82,328,0
4.84,329,0
4.86,320,0
4.88,321,0
4.90,322,0
4.92,324,0
4.94,329,0
4.96,336,0
4.98,351,0
5.00,350,0

